,Epoch,TENET Test AP,TENET Test ROC
0,0,0.771570036,0.780734342
1,1,0.653743162,0.687066878
2,2,0.634697656,0.666909852
3,3,0.627477427,0.659527412
4,4,0.620791955,0.651861349
5,5,0.627721727,0.662148891
6,6,0.633879165,0.672088871
7,7,0.635173625,0.674344753
8,8,0.639590456,0.677675294
9,9,0.643440174,0.683827327
10,10,0.644514195,0.683842082
11,11,0.652932574,0.694614902
12,12,0.655350769,0.695824815
13,13,0.658657828,0.699932455
14,14,0.67430738,0.719011543
15,15,0.708402401,0.755431905
16,16,0.735382089,0.777328387
17,17,0.736087021,0.779039971
18,18,0.730221767,0.769065563
19,19,0.739512314,0.779793298
20,20,0.741345304,0.782561508
21,21,0.730083679,0.779420324
22,22,0.738824735,0.78240576
23,23,0.739619781,0.785535469
24,24,0.740934362,0.784474745
25,25,0.741513345,0.784240304
26,26,0.737424058,0.776716872
27,27,0.740506195,0.785238728
28,28,0.73449937,0.780790903
29,29,0.742620461,0.785550224
30,30,0.748000868,0.791432567
31,31,0.734952379,0.781399139
32,32,0.740485912,0.783768143
33,33,0.749635317,0.793396627
34,34,0.740813648,0.784469827
35,35,0.749022965,0.794029454
36,36,0.749838425,0.796519777
37,37,0.746544429,0.792867085
38,38,0.74803252,0.796104997
39,39,0.746881238,0.79704932
40,40,0.743635901,0.792944139
41,41,0.748503684,0.79752476
42,42,0.749405888,0.798134635
43,43,0.75011264,0.798182179
44,44,0.748979233,0.796759137
45,45,0.748897169,0.797890357
46,46,0.749531866,0.799177324
47,47,0.747157871,0.798236281
48,48,0.751608786,0.800238048
49,49,0.749365797,0.799295365
50,50,0.7396879,0.788615993
51,51,0.75275511,0.799644567
52,52,0.75281192,0.800888909
53,53,0.753597597,0.80335628
54,54,0.755089037,0.804418643
55,55,0.762417037,0.809912437
56,56,0.749995746,0.796449281
57,57,0.758604623,0.802886578
58,58,0.757580441,0.804561275
59,59,0.758716744,0.808353321
60,60,0.763006744,0.812853609
61,61,0.765957853,0.815543945
62,62,0.762461685,0.814014339
63,63,0.761730956,0.810699373
64,64,0.771338863,0.817850649
65,65,0.771634658,0.8199016
66,66,0.773859111,0.816812878
67,67,0.774572646,0.811474832
68,68,0.767551631,0.808807448
69,69,0.781517018,0.817927704
70,70,0.7757334,0.817080108
71,71,0.781278308,0.821159058
72,72,0.774834372,0.817734249
73,73,0.778840405,0.82011145
74,74,0.786829757,0.826085602
75,75,0.792890388,0.827746364
76,76,0.787453379,0.818342484
77,77,0.788006723,0.814107787
78,78,0.793922354,0.825533108
79,79,0.777446288,0.813874985
80,80,0.795384229,0.825101933
81,81,0.782798195,0.822502586
82,82,0.793152595,0.825652788
83,83,0.786120024,0.831340036
84,84,0.789183386,0.830267837
85,85,0.795952264,0.831969585
86,86,0.796850896,0.830213735
87,87,0.791573486,0.819531085
88,88,0.7959129,0.83439433
89,89,0.798905964,0.825680658
90,90,0.792139677,0.822846051
91,91,0.801611933,0.830033396
92,92,0.803445954,0.833184417
93,93,0.805804478,0.836819075
94,94,0.799239784,0.834259895
95,95,0.810584991,0.843652299
96,96,0.810641697,0.838596238
97,97,0.815431614,0.843668694
98,98,0.815479775,0.846562321
99,99,0.804625697,0.840006164
100,100,0.818454834,0.847044319
101,101,0.827015878,0.854515289
102,102,0.832341025,0.855292388
103,103,0.832358937,0.852152843
104,104,0.825754476,0.849792036
105,105,0.823483507,0.851274098
106,106,0.838130588,0.857646636
107,107,0.825886894,0.849785478
108,108,0.827793634,0.856097357
109,109,0.840260684,0.861460815
110,110,0.842050929,0.860300904
111,111,0.825263581,0.849441194
112,112,0.831831086,0.855130082
113,113,0.839494697,0.860100892
114,114,0.835999152,0.851680681
115,115,0.840379631,0.85799256
116,116,0.82783004,0.843940842
117,117,0.829022477,0.847255808
118,118,0.822515058,0.857940098
119,119,0.825967381,0.857954853
